,City,2011 Population,2001 Population,Change in Population
0,Mumbai,12442373.0,11978450.0,463923.0
1,Delhi,11007835.0,9879172.0,1128663.0
2,Bangalore,8425970.0,4301326.0,4124644.0
3,Hyderabad,6809970.0,3637483.0,3172487.0
4,Ahmedabad,5570585.0,3520085.0,2050500.0
5,Chennai,4681087.0,4343645.0,337442.0
6,Kolkata,4486679.0,4572876.0,-86197.0
7,Surat,4467797.0,2433835.0,2033962.0
8,Vadodara,3552371.0,1690000.0,1862371.0
9,Pune,3115431.0,2538473.0,576958.0
10,Jaipur,3046163.0,2322575.0,723588.0
11,Lucknow,2815601.0,2185927.0,629674.0
12,Kanpur,2767031.0,2551337.0,215694.0
13,Nagpur,2405665.0,2052066.0,353599.0
14,Indore,1960631.0,1474968.0,485663.0
15,Thane,1818872.0,1262551.0,556321.0
16,Bhopal,1798218.0,1437354.0,360864.0
17,Visakhapatnam,1728128.0,1345938.0,382190.0
18,Pimpri-Chinchwad,1727692.0,1012472.0,715220.0
19,Patna,1684222.0,1366444.0,317778.0
20,Ghaziabad,1648643.0,968256.0,680387.0
21,Ludhiana,1618879.0,1398467.0,220412.0
22,Agra,1585704.0,1275134.0,310570.0
23,Nashik,1486053.0,1077236.0,408817.0
24,Faridabad,1414050.0,1055938.0,358112.0
25,Meerut,1305429.0,1039405.0,266024.0
26,Rajkot,1286678.0,967476.0,319202.0
27,Kalyan-Dombivli,1247327.0,1193512.0,53815.0
28,Vasai-Virar,1222390.0,693350.0,529040.0
29,Varanasi,1201815.0,1091918.0,109897.0
30,Srinagar,1180570.0,898440.0,282130.0
31,Aurangabad,1175116.0,873311.0,301805.0
32,Dhanbad,1162472.0,1065327.0,97145.0
33,Amritsar,1132383.0,966862.0,165521.0
34,Navi Mumbai,1120547.0,704002.0,416545.0
35,Allahabad,1112544.0,975393.0,137151.0
36,Howrah,1077075.0,1007532.0,69543.0
37,Ranchi,1073427.0,847093.0,226334.0
38,Gwalior,1069276.0,827026.0,242250.0
39,Jabalpur,1055525.0,932484.0,123041.0
40,Coimbatore,1050721.0,930882.0,119839.0
41,Vijayawada,1034358.0,851282.0,183076.0
42,Jodhpur,1033918.0,851051.0,182867.0
43,Madurai,1017865.0,928869.0,88996.0
44,Raipur,1010087.0,605747.0,404340.0
45,Kota,1001694.0,694316.0,307378.0
46,Chandigarh,960787.0,808515.0,152272.0
47,Guwahati,957352.0,809895.0,147457.0
48,Solapur,951558.0,872478.0,79080.0
49,Hubli–Dharwad,943788.0,786195.0,157593.0
50,Bareilly,903668.0,718395.0,185273.0
51,Mysore,893062.0,762408.0,130654.0
52,Moradabad,887871.0,669087.0,218784.0
53,Gurgaon,876969.0,173542.0,703427.0
54,Aligarh,874408.0,672315.0,202093.0
55,Jalandhar,862886.0,706043.0,156843.0
56,Tiruchirappalli,847387.0,752066.0,95321.0
57,Bhubaneswar,843402.0,648032.0,195370.0
58,Salem,829267.0,696760.0,132507.0
59,Mira-Bhayandar,809378.0,520388.0,288990.0
60,Thiruvananthapuram,743691.0,368618.0,375073.0
61,Bhiwandi,709665.0,598741.0,110924.0
62,Saharanpur,705478.0,455754.0,249724.0
63,Gorakhpur,673446.0,622701.0,50745.0
64,Guntur,647508.0,514461.0,133047.0
65,Amravati,647057.0,549510.0,97547.0
66,Bikaner,644406.0,529690.0,114716.0
67,Noida,637272.0,305058.0,332214.0
68,Jamshedpur,631364.0,573096.0,58268.0
69,Bhilai,625700.0,556366.0,69334.0
70,Warangal,615998.0,530636.0,85362.0
71,Cuttack,610189.0,534654.0,75535.0
72,Firozabad,604214.0,279102.0,325112.0
73,Kochi,602046.0,596473.0,5573.0
74,Bhavnagar,593368.0,511085.0,82283.0
75,Dehradun,569578.0,426674.0,142904.0
76,Durgapur,566517.0,493405.0,73112.0
77,Asansol,563917.0,475439.0,88478.0
78,Nanded,550439.0,430733.0,119706.0
79,Kolhapur,549236.0,493167.0,56069.0
80,Ajmer,542321.0,485575.0,56746.0
81,Gulbarga,533587.0,422569.0,111018.0
82,Loni,516082.0,120945.0,395137.0
83,Ujjain,515215.0,430427.0,84788.0
84,Siliguri,513264.0,472374.0,40890.0
85,Ulhasnagar,506098.0,473731.0,32367.0
86,Jhansi,505693.0,383644.0,122049.0
87,Sangli-Miraj & Kupwad,502793.0,436781.0,66012.0
88,Jammu,502197.0,369959.0,132238.0
89,Nellore,499575.0,378428.0,121147.0
90,Mangalore,488968.0,399565.0,89403.0
91,Belgaum,488157.0,399653.0,88504.0
92,Jamnagar,479920.0,443518.0,36402.0
93,Tirunelveli,473637.0,411831.0,61806.0
94,Malegaon,471312.0,409403.0,61909.0
95,Gaya,468614.0,385432.0,83182.0
96,Ambattur,466205.0,310967.0,155238.0
97,Jalgaon,460228.0,462280.0,-2052.0
98,Udaipur,451100.0,389438.0,61662.0
99,Maheshtala,448317.0,385266.0,63051.0
100,Tiruppur,444352.0,344543.0,99809.0
101,Davanagere,434971.0,364523.0,70448.0
102,Kozhikode,431560.0,436556.0,-4996.0
103,Kurnool,430214.0,345987.0,84227.0
104,Akola,425817.0,400520.0,25297.0
105,Rajpur Sonarpur,424368.0,336707.0,87661.0
106,Bokaro,414820.0,393805.0,21015.0
107,Bellary,410445.0,316766.0,93679.0
108,Patiala,406192.0,303151.0,103041.0
109,South Dum Dum,403316.0,392444.0,10872.0
111,Bhagalpur,400146.0,340767.0,59379.0
112,Agartala,400004.0,271811.0,128193.0
113,Muzaffarnagar,392768.0,316729.0,76039.0
114,Bhatpara,383762.0,442385.0,-58623.0
115,Latur,382940.0,299985.0,82955.0
116,Panihati,377347.0,348438.0,28909.0
117,Dhule,375559.0,341755.0,33804.0
118,Rohtak,374292.0,286807.0,87485.0
119,Korba,363390.0,315690.0,47700.0
120,Bhilwara,359483.0,280128.0,79355.0
121,Berhampur,356598.0,307792.0,48806.0
122,Muzaffarpur,354462.0,305525.0,48937.0
123,Ahmednagar,350859.0,307615.0,43244.0
124,Mathura,349909.0,302770.0,47139.0
125,Kollam,348657.0,361560.0,-12903.0
126,Avadi,345996.0,229403.0,116593.0
127,Kadapa,344893.0,125725.0,219168.0
128,Rajahmundry,341831.0,315251.0,26580.0
129,Bilaspur,331030.0,296662.0,34368.0
130,Kamarhati,330211.0,314507.0,15704.0
131,Shahjahanpur,329736.0,296662.0,33074.0
132,Bijapur,327427.0,228175.0,99252.0
133,Rampur,325313.0,281494.0,43819.0
134,Shimoga,322650.0,274352.0,48298.0
135,Chandrapur,320379.0,289450.0,30929.0
136,Junagadh,319462.0,168686.0,150776.0
137,Thrissur,315957.0,317526.0,-1569.0
138,Alwar,315379.0,260593.0,54786.0
139,Bardhaman,314265.0,285602.0,28663.0
140,Kulti,313809.0,289903.0,23906.0
141,Kakinada,312538.0,325985.0,-13447.0
142,Nizamabad,311152.0,288722.0,22430.0
143,Parbhani,307170.0,259329.0,47841.0
144,Tumkur,302143.0,248929.0,53214.0
145,Hisar,301383.0,286807.0,14576.0
146,Uzhavarkarai,300104.0,217707.0,82397.0
147,Bihar Sharif,297268.0,232071.0,65197.0
148,Darbhanga,296039.0,267348.0,28691.0
149,Panipat,294292.0,261740.0,32552.0
150,Aizawl,293416.0,228280.0,65136.0
151,Bally,293373.0,260906.0,32467.0
152,Dewas,289550.0,231672.0,57878.0
153,Ichalkaranji,287353.0,257610.0,29743.0
155,Bathinda,285788.0,217256.0,68532.0
156,Jalna,285577.0,235795.0,49782.0
157,Kirari Suleman Nagar,283211.0,153874.0,129337.0
158,Purnia,282248.0,171687.0,110561.0
159,Satna,280222.0,225464.0,54758.0
160,Mau,278745.0,212657.0,66088.0
161,Barasat,278435.0,231515.0,46920.0
163,Farrukhabad,276581.0,228333.0,48248.0
164,Sagar,273296.0,232133.0,41163.0
166,Durg,268679.0,232517.0,36162.0
167,Imphal,264986.0,221492.0,43494.0
168,Ratlam,264810.0,222202.0,42608.0
169,Hapur,262801.0,211983.0,50818.0
170,Arrah,261099.0,203380.0,57719.0
171,Anantapur,261004.0,218808.0,42196.0
172,Karimnagar,260899.0,205653.0,55246.0
173,Etawah,256838.0,210453.0,46385.0
174,Ambarnath,254003.0,203795.0,50208.0
175,North Dum Dum,253625.0,220042.0,33583.0
176,Bharatpur,252109.0,204587.0,47522.0
177,Begusarai,251136.0,93378.0,157758.0
178,New Delhi,249998.0,302147.0,-52149.0
179,Gandhidham,248705.0,166388.0,82317.0
180,Baranagar,248466.0,250768.0,-2302.0
181,Tiruvottiyur,248059.0,212281.0,35778.0
182,Pondicherry,241773.0,220749.0,21024.0
183,Sikar,237579.0,184904.0,52675.0
184,Thoothukudi,237374.0,216058.0,21316.0
185,Rewa,235422.0,183274.0,52148.0
186,Karur,234191.0,158955.0,75236.0
187,Mirzapur,233691.0,205053.0,28638.0
188,Raichur,232456.0,207421.0,25035.0
189,Pali,229956.0,187641.0,42315.0
190,Ramagundam,229644.0,236600.0,-6956.0
191,Silchar,229136.0,184105.0,45031.0
192,Haridwar,228832.0,175010.0,53822.0
193,Vijayanagaram,228025.0,174324.0,53701.0
194,Tenali,225982.0,184937.0,41045.0
195,Nagercoil,224849.0,208179.0,16670.0
196,Sri Ganganagar,224773.0,210713.0,14060.0
197,Karawal Nagar,224666.0,148549.0,76117.0
198,Mango,223805.0,166125.0,57680.0
199,Thanjavur,222943.0,215314.0,7629.0
200,Bulandshahr,222519.0,176425.0,46094.0
201,Uluberia,222240.0,202135.0,20105.0
202,Katni,221883.0,187029.0,34854.0
203,Sambhal,220813.0,182478.0,38335.0
204,Singrauli,220257.0,185190.0,35067.0
205,Nadiad,218095.0,192913.0,25182.0
206,Secunderabad,217910.0,206102.0,11808.0
207,Naihati,217900.0,215303.0,2597.0
209,Bidhannagar,215514.0,164221.0,51293.0
210,Pallavaram,215417.0,144623.0,70794.0
211,Bidar,214373.0,172877.0,41496.0
212,Munger,213303.0,188050.0,25253.0
213,Panchkula,210175.0,140925.0,69250.0
214,Burhanpur,210886.0,193725.0,17161.0
215,Kharagpur,207604.0,188761.0,18843.0
216,Dindigul,207327.0,196955.0,10372.0
217,Gandhinagar,206167.0,195985.0,10182.0
218,Hospet,206167.0,164240.0,41927.0
219,Nangloi Jat,205596.0,150948.0,54648.0
220,Malda,205521.0,161456.0,44065.0
221,Ongole,204746.0,150471.0,54275.0
223,Deoghar,203123.0,112525.0,90598.0
224,Chhapra,202352.0,79190.0,123162.0
225,Puri,201026.0,152682.0,48344.0
226,Haldia,200827.0,170673.0,30154.0
227,Khandwa,200738.0,172242.0,28496.0
228,Nandyal,200516.0,152676.0,47840.0
229,Morena,200482.0,150959.0,49523.0
230,Amroha,198471.0,165129.0,33342.0
231,Anand,198282.0,130685.0,67597.0
233,Bhind,197585.0,153752.0,43833.0
234,Bhalswa Jahangir Pur,197148.0,152339.0,44809.0
235,Madhyamgram,196127.0,155451.0,40676.0
236,Berhampore,195223.0,160143.0,35080.0
237,Morbi,194947.0,145719.0,49228.0
238,Fatehpur,193193.0,151757.0,41436.0
239,Raebareli,191316.0,169333.0,21983.0
241,Chittoor,189332.0,152654.0,36678.0
242,Bhusawal,187421.0,172372.0,15049.0
243,Orai,187137.0,139318.0,47819.0
244,Bahraich,186223.0,168323.0,17900.0
245,Phusro,186139.0,83463.0,102676.0
246,Vellore,185803.0,177230.0,8573.0
247,Mehsana,184991.0,141453.0,43538.0
250,Raiganj,183612.0,165212.0,18400.0
251,Sirsa,183282.0,160735.0,22547.0
252,Danapur,182429.0,131176.0,51253.0
253,Serampore,181842.0,197857.0,-16015.0
254,Sultan Pur Majra,181554.0,164426.0,17128.0
255,Guna,180935.0,137175.0,43760.0
256,Jaunpur,180362.0,160055.0,20307.0
257,Panvel,180020.0,104058.0,75962.0
258,Shivpuri,179977.0,146892.0,33085.0
259,Surendranagar Dudhrej,177851.0,156161.0,21690.0
260,Unnao,177658.0,144662.0,32996.0
261,Chinsurah,177259.0,170201.0,7058.0
262,Alappuzha,174164.0,177029.0,-2865.0
263,Kottayam,172878.0,129894.0,42984.0
265,Machilipatnam,169892.0,179353.0,-9461.0
266,Shimla,169578.0,142555.0,27023.0
267,Midnapore,169127.0,149768.0,19359.0
273,Katihar,164937.0,115169.0,49768.0
275,Budaun,159221.0,148029.0,11192.0
278,Erode,157101.0,173600.0,-16499.0
279,Saharsa,155175.0,125167.0,30008.0
281,Dibrugarh,154296.0,137661.0,16635.0
282,Jorhat,153889.0,112026.0,41863.0
284,Nagaon,148496.0,123265.0,25231.0
286,Hajipur,147688.0,119412.0,28276.0
287,Sasaram,147396.0,131172.0,16224.0
291,Hazaribagh,142489.0,127243.0,15246.0
295,Kumbakonam,140056.0,144021.0,-3965.0
297,Bongaigaon,139650.0,101213.0,38437.0
298,Raigarh,137126.0,115908.0,21218.0
299,Dehri,137068.0,119057.0,18011.0
301,Siwan,134458.0,109919.0,24539.0
302,Bettiah,132896.0,116670.0,16226.0
303,Ramgarh,132441.0,73455.0,58986.0
306,Tinsukia,126389.0,101957.0,24432.0
309,Motihari,125183.0,100683.0,24500.0
319,Hosur,116821.0,102000.0,14821.0
321,Suryapet,115250.0,94585.0,20665.0
325,Miryalaguda,109891.0,91395.0,18496.0
328,Karaikudi,106714.0,86596.0,20118.0
329,Kishanganj,105782.0,85590.0,20192.0
330,Gangavathi,105529.0,85459.0,20070.0
